episode,return,moving_avg_30
124,-0.4709999999999997,-0.5662000179290771
125,-0.8090000000000002,-0.5769666433334351
126,-0.6839999999999999,-0.584766685962677
127,-0.661,-0.5922666788101196
128,-0.6539999999999999,-0.5861666202545166
129,-0.9930000000000001,-0.5930999517440796
130,-0.746,-0.6011333465576172
131,-1.0479999999999947,-0.6124000549316406
132,-0.4719999999999997,-0.6089333891868591
133,-0.6029999999999998,-0.6142333149909973
134,-0.4079999999999997,-0.597800076007843
135,-0.8340000000000003,-0.5918000340461731
136,-0.643,-0.5958666205406189
137,-1.017999999999998,-0.6195333003997803
138,-0.40799999999999964,-0.6181333065032959
139,-1.0549999999999944,-0.6331666111946106
140,-0.883,-0.6447333097457886
141,-0.4789999999999997,-0.650433361530304
142,-0.7049999999999998,-0.660099983215332
143,-0.3789999999999997,-0.6589000225067139
144,-0.3439999999999997,-0.6487999558448792
145,-0.7869999999999999,-0.6509666442871094
146,-0.5549999999999995,-0.6492666602134705
147,-0.79,-0.6548000574111938
148,-0.6189999999999996,-0.6505333781242371
149,-0.7320000000000002,-0.6623000502586365
150,-0.5829999999999995,-0.6621000170707703
151,-0.3079999999999996,-0.6538333892822266
152,-0.4559999999999995,-0.6533000469207764
153,-0.9449999999999998,-0.6690666675567627
154,-0.6349999999999998,-0.6745333075523376
155,-0.5479999999999998,-0.6658333539962769
156,-0.6820000000000002,-0.6657665967941284
157,-0.40799999999999964,-0.6573333740234375
158,-0.5829999999999995,-0.6549665927886963
159,-0.3079999999999996,-0.6321333050727844
160,-0.3079999999999996,-0.6175333857536316
161,-0.3789999999999997,-0.5952333211898804
162,-0.39999999999999963,-0.5928333401679993
163,-0.3079999999999996,-0.5830000638961792
164,-0.5559999999999996,-0.587933361530304
165,-0.9520000000000002,-0.5918666124343872
166,-0.5419999999999998,-0.5884999632835388
167,-1.0949999999999898,-0.5910665988922119
168,-0.6279999999999999,-0.5983999967575073
169,-0.6769999999999998,-0.5857999920845032
170,-0.7749999999999997,-0.5821999907493591
171,-0.9440000000000002,-0.5976999998092651
172,-0.7990000000000002,-0.6008333563804626
173,-0.8690000000000002,-0.6171666383743286
174,-0.7480000000000002,-0.6306332945823669
175,-0.5079999999999996,-0.6213332414627075
176,-1.192999999999976,-0.6425999402999878
177,-0.685,-0.6390999555587769
178,-0.5479999999999998,-0.6367332935333252
179,-0.6269999999999998,-0.633233368396759
180,-0.41499999999999976,-0.6276333928108215
181,-0.4859999999999998,-0.6335667371749878
182,-0.9039999999999999,-0.6485000848770142
183,-0.4919999999999996,-0.633400022983551
184,-0.9100000000000001,-0.6425666809082031
185,-0.3439999999999997,-0.6357666254043579
186,-0.3079999999999996,-0.6233000159263611
187,-0.5839999999999996,-0.6291666626930237
188,-0.5119999999999993,-0.6267999410629272
189,-0.5049999999999997,-0.633366584777832
190,-0.6389999999999996,-0.6443999409675598
191,-0.5549999999999995,-0.6502665877342224
192,-0.37899999999999967,-0.6495665907859802
193,-0.8420000000000001,-0.6673666834831238
194,-0.5409999999999997,-0.666866660118103
195,-0.3079999999999996,-0.6454000473022461
196,-0.5329999999999997,-0.6450999975204468
197,-0.5069999999999997,-0.625499963760376
198,-0.7389999999999999,-0.6292000412940979
199,-0.938,-0.6378999948501587
200,-1.1369999999999842,-0.6499665975570679
201,-0.9050000000000002,-0.6486666202545166
202,-1.279999999999965,-0.6646999716758728
203,-1.1649999999999805,-0.6745666265487671
204,-1.0229999999999977,-0.6837334036827087
205,-0.5149999999999997,-0.6839666366577148
206,-0.766,-0.6697332859039307
207,-0.7259999999999995,-0.6711000204086304
208,-1.3589999999999542,-0.6981333494186401
209,-1.0159999999999985,-0.7110999822616577
210,-0.9090000000000003,-0.727566659450531
211,-0.7949999999999997,-0.7378666996955872
212,-0.6189999999999998,-0.7283666729927063
213,-0.7970000000000002,-0.7385333180427551
214,-0.635,-0.7293667197227478
215,-0.6419999999999997,-0.739300012588501
216,-0.6829999999999998,-0.751800000667572
217,-0.7739999999999998,-0.7581333518028259
218,-0.3789999999999997,-0.7537000775337219
219,-0.37899999999999967,-0.749500036239624
220,-0.47899999999999976,-0.7441666126251221
221,-0.6659999999999999,-0.747866690158844
222,-1.0169999999999983,-0.7691333293914795
223,-0.7280000000000002,-0.765333354473114
224,-0.41499999999999976,-0.7611333131790161
225,-0.8340000000000001,-0.7786667346954346
226,-1.036999999999996,-0.7954667210578918
227,-0.9380000000000002,-0.8098334074020386
228,-1.08499999999999,-0.8213667273521423
229,-0.7070000000000001,-0.8136666417121887
230,-1.4059999999999495,-0.8226333260536194
231,-0.5099999999999998,-0.8094666600227356
232,-0.5209999999999999,-0.784166693687439
233,-0.909,-0.7756333947181702
234,-1.038999999999996,-0.7761666774749756
235,-1.0619999999999927,-0.7944000363349915
236,-1.0269999999999975,-0.803100049495697
237,-0.6139999999999997,-0.7993667125701904
238,-0.9830000000000003,-0.7868334054946899
239,-0.7930000000000001,-0.7793999910354614
240,-1.0709999999999922,-0.7847999930381775
241,-1.619999999999917,-0.8123000264167786
242,-1.301999999999961,-0.8350666761398315
243,-1.2399999999999722,-0.8498333096504211
244,-1.1209999999999862,-0.8660333156585693
245,-1.6399999999999166,-0.8992999792098999
246,-0.6859999999999999,-0.8994000554084778
247,-1.4499999999999407,-0.9219333529472351
248,-1.3269999999999589,-0.9535333514213562
249,-1.4489999999999448,-0.9891999363899231
250,-1.6499999999999182,-1.028233289718628
251,-1.6299999999999197,-1.0603666305541992
252,-1.6499999999999162,-1.0814666748046875
253,-1.5269999999999344,-1.1080998182296753
254,-1.6499999999999164,-1.1492667198181152
255,-1.5799999999999224,-1.1741334199905396
256,-1.5999999999999213,-1.1929000616073608
257,-1.5799999999999226,-1.2143000364303589
258,-1.609999999999919,-1.2318000793457031
259,-1.559999999999922,-1.2602334022521973
260,-1.6199999999999206,-1.2673667669296265
261,-1.6299999999999206,-1.3047001361846924
262,-1.5089999999999337,-1.3376333713531494
263,-1.0059999999999998,-1.3408666849136353
